Participant_ID,Age,Gender,Stroop_RT_ms
P001,22,Woman,625
P002,28,Woman,728
P003,26,Woman,537
P004,23,Man,648
P005,28,Man,649
P006,24,Woman,512
P007,28,Man,554
P008,19,Woman,410
P009,29,Nonbinary,557
P010,19,Woman,622
P011,20,Man,502
P012,21,Woman,815
P013,19,Woman,615
P014,24,Woman,604
P015,20,Woman,492
P016,20,Woman,835
P017,18,Man,515
P018,27,Woman,737
P019,28,Man,667
P020,21,Woman,800
P021,28,Man,690
P022,27,Woman,693
P023,28,Woman,648
P024,25,Man,425
P025,29,Woman,576
P026,28,Man,698
P027,23,Man,622
P028,30,Man,678
P029,22,Woman,633
P030,27,Woman,533
P031,28,Woman,742
P032,18,Woman,664
P033,26,Woman,672
P034,21,Nonbinary,733
P035,30,Woman,625
P036,20,Woman,800
P037,22,Woman,736
P038,23,Woman,722
P039,26,Man,860
P040,19,Woman,541
P041,30,Woman,643
P042,22,Man,435
P043,19,Woman,604
P044,19,Woman,503
P045,21,Woman,726
P046,24,Woman,660
P047,20,Man,628
P048,29,Woman,578
P049,23,Man,639
P050,19,Man,576
P051,29,Man,663
P052,28,Nonbinary,645
P053,19,Man,628
P054,21,Woman,629
P055,24,Man,643
P056,22,Woman,597
P057,26,Man,722
P058,23,Man,644
P059,26,Nonbinary,655
P060,30,Man,875
P061,21,Woman,591
P062,22,Man,660
P063,27,Woman,604
P064,30,Woman,569
P065,25,Woman,604
P066,22,Man,628
P067,22,Woman,623
P068,25,Woman,661
P069,20,Man,662
P070,26,Woman,673
P071,19,Woman,638
P072,19,Man,581
P073,24,Man,660
P074,29,Man,565
P075,22,Man,608
P076,24,Man,695
P077,21,Man,905
P078,30,Man,510
P079,19,Man,681
P080,18,Man,562
P081,29,Man,509
P082,27,Man,594
P083,30,Man,545
P084,22,Man,661
P085,26,Woman,622
P086,28,Man,592
P087,30,Woman,578
P088,29,Woman,705
P089,26,Woman,890
P090,23,Woman,581
P091,19,Man,478
P092,21,Man,489
P093,29,Man,806
P094,20,Man,723
P095,30,Woman,735
P096,20,Nonbinary,526
P097,21,Woman,588
P098,18,Man,612
P099,29,Man,588
P100,26,Man,650
P101,22,Woman,677
P102,22,Woman,940
P103,25,Woman,719
P104,24,Man,560
P105,28,Woman,537
P106,22,Woman,593
P107,23,Man,577
P108,27,Man,632
P109,27,Woman,580
P110,24,Man,598
P111,21,Nonbinary,772
P112,20,Woman,541
P113,26,Man,642
P114,18,Man,598
P115,30,Woman,975
P116,28,Man,642
P117,23,Man,563
P118,29,Woman,684
P119,30,Man,738
P120,20,Woman,764
