Applicant_ID,Sex,Age,State,Assessment_Type,Extroversion_Score
A1,Male,17,NJ,EPI,10.0
A2,Female,19,NJ,EPI,8.0
A3,Male,34,NJ,EPI,15.0
A4,Male,26,NY,BFI,24.0
A5,Male,19,NJ,EPI,20.0
A6,Female,24,NY,BFI,31.0
A7,Male,30,NJ,BFI,14.0
A8,Male,34,NY,EPI,12.0
A9,Male,31,NJ,BFI,31.0
A10,Female,18,NY,BFI,26.0
A11,Male,26,NY,BFI,21.0
A12,Male,18,NJ,BFI,37.0
A13,Male,33,NJ,EPI,10.0
A14,Male,24,NJ,BFI,35.0
A15,Female,17,NJ,EPI,21.0
A16,Male,25,NY,BFI,26.0
A17,Female,27,NJ,EPI,12.0
A18,Female,32,NY,EPI,11.0
A19,Female,23,NY,EPI,13.0
A20,Male,26,NJ,BFI,16.0
A21,Female,19,NY,EPI,12.0
A22,Male,34,NY,EPI,11.0
A23,Female,29,NY,EPI,5.0
A24,Female,23,NY,BFI,36.0
A25,Female,20,NJ,EPI,23.0
A26,Female,29,NJ,BFI,29.0
A27,Female,17,NJ,EPI,20.0
A28,Female,24,NJ,EPI,14.0
A29,Female,30,NY,BFI,22.0
A30,Female,32,NY,EPI,13.0
A31,Male,30,NJ,BFI,26.0
A32,Male,28,NJ,BFI,11.0
A33,Female,35,NJ,EPI,8.0
A34,Female,31,NY,EPI,15.0
A35,Female,18,NJ,EPI,18.0
A36,Male,18,NJ,BFI,20.0
A37,Female,35,NJ,BFI,15.0
A38,Male,33,NY,EPI,20.0
A39,Male,26,NY,BFI,21.0
A40,Male,22,NY,BFI,25.0
A41,Male,31,NY,BFI,22.0
A42,Male,27,NY,EPI,12.0
A43,Female,21,NY,BFI,25.0
A44,Female,17,NY,EPI,10.0
A45,Female,24,NY,BFI,28.0
A46,Female,28,NJ,BFI,28.0
A47,Female,28,NJ,EPI,18.0
A48,Male,21,NY,EPI,13.0
A49,Female,23,NY,BFI,39.0
A50,Female,20,NJ,EPI,9.0
A51,Male,22,NY,EPI,16.0
A52,Female,29,NY,EPI,10.0
A53,Male,31,NY,EPI,12.0
A54,Female,19,NJ,BFI,33.0
A55,Male,24,NJ,EPI,11.0
A56,Female,32,NJ,EPI,12.0
A57,Female,29,NJ,EPI,22.0
A58,Male,34,NJ,BFI,14.0
A59,Male,26,NY,EPI,6.0
A60,Male,35,NJ,EPI,17.0
A61,Male,33,NY,BFI,27.0
A62,Male,35,NY,EPI,17.0
A63,Male,21,NJ,BFI,33.0
A64,Male,25,NJ,BFI,14.0
A65,Male,28,NY,BFI,15.0
A66,Female,17,NY,BFI,32.0
